Vocab,ไทย,Japanese,gosho number,Reference,,,,,,,,,,,,,,,,,,,,,
"The twelfth day of the third month in the eleventh year of Bun’ei (1274), cyclical sign kinoe-inu",วันที่ 12 เดือน 3 ปีบุนเอที่ 11 (ค.ศ. 1274) ปีจักรราศี คิโนะเอะ-อินุ,,51,,,,,,,,,,,,,,,,,,,,,,
"The sixth day of the third month in the twelfth year of Bun’ei (1275), cyclical sign kinoto-i","วันที่ 6 เดือน 3 ปีบุนเอที่ 12 (ค.ศ. 1275)
ปีจักรราศี คิโนะโตะ-อิ
",,56,,,,,,,,,,,,,,,,,,,,,,
"
The twelfth day of the fourth month in the first year of Kenji (1275), cyclical sign kinoto-i
","
วันที่ 12 เดือน 4 ปีเคนจิที่ 1 (ค.ศ. 1275) 
ปีจักรราศี คิโนะโตะ-อิ 
",,59,,,,,,,,,,,,,,,,,,,,,,
"IN the first year of the Kōchō era (1261), cyclical sign kanoto-tori, on the twelfth day of the fifth month

cyclical sign mizunoto-i, on the twenty-second day of the second month","ในปีโคโจที่ 1 (ค.ศ. 1261) ปีจักรราศี คาโนะโตะ-โตะริ วันที่ 12 เดือน 5 

ในปีโคโจที่ 3 ปีจักรราศี มิสุโนะโตะ-อิ วันที่ 22 เดือน 2 ",,63,,,,,,,,,,,,,,,,,,,,,,
"the eighth year of the Bun’ei era (1271), cyclical sign kanoto-hitsuji, on the twelfth day of the ninth month,",ปีบุนเอที่ 8 (ค.ศ. 1271) ปีจักรราศี คาโนะโตะ-ฮิจึจิ วัน ที่ 12 เดือน 9,,63,,,,,,,,,,,,,,,,,,,,,,
" the tenth month of the eleventh year of the Bun’ei era (1274), cyclical sign kinoe-inu",เดือน 10 ปีบุนเอที่ 11 (ค.ศ. 1274) ปีจักรราศี คิโนะเอะ-อินุ ,,63,,,,,,,,,,,,,,,,,,,,,,
"the first year of the Bunnō era (1260), cyclical sign kanoe-saru, on the sixteenth day of the seventh month, ",ปีบุนโนที่ 1 (ค.ศ. 1260) ปีจักรราศี คาโนะเอะ-ซารุ วันที่ 16 เดือน 7,,66,,,,,,,,,,,,,,,,,,,,,,
"the ninth month of the eighth year of Bun’ei (1271), with the cyclical sign kanoto-hitsuji,",เดือน 9 ปีบุนเอที่ 8 (ค.ศ. 1271) จักรราศี คาโนะโตะ-ฮิจึจิ ,,83,,,,,,,,,,,,,,,,,,,,,,
"the third month in the second year of Kenji (1276), cyclical sign hinoe-ne",เดือน 3 ปีเคนจิที่ 2 (ค.ศ. 1276) ปีจักรราศี ฮิโนะเอะ-เนะ ,,83,,,,,,,,,,,,,,,,,,,,,,
Bodhisattva Ashvaghosha,, ,13,,,,,,,,,,,,,,,,,,,,,,
Bodhisattva Flower Virtue,ปัทมศรีโพธิสัตว์, ,,,,,,,,,,,,,,,,,,,,,,,
cast aside,ละทิ้ง, ,30,,,,,,,,,,,,,,,,,,,,,,
Emperor Kammu,จักรพรรดิคัมมุ, ,"7, 17, 30, 68",,,,,,,,,,,,,,,,,,,,,,
"mugwort, hemp","ต้นแขม,ป่าน", ,2,,,,,,,,,,,,,,,,,,,,,,
"Rather than offering up ten thousand prayers for remedy, it would be better simply to outlaw this 1 evil",แทนที่จะเฝ้าสวดวิงวอนเป็นหมื่นครั้งเพื่อขอหนทางแก้ไข คงจะดีเสียกว่า หาก เราจะกล่าวประณามต่อคำสอนชั่วร้ายซึ่งเป็นบ่อเกิดของปัญหา และความเดือดร้อนทั้งปวง, ,,,,,,,,,,,,,,,,,,,,,,,
"ruler's consort, heir, his minister of the state, lord of cities, village heads, generals, magistrates of districts and the other officials","มเหสี, รัชทายาท, มหาอำมาตย์ของประเทศ, เจ้าเมือง, ผู้ใหญ่บ้าน, แม่ทัพนายกอง ชนชั้นปกครองในเขตเมือง ข้าราชการ", ,2,,,,,,,,,,,,,,,,,,,,,,
"sweet dew, sweet dew of amrita",น้ำอมฤต,,66,,,,,,,,,,,,,,,,,,,,,,
"Mahāsamghika (1)  

    Ekavyāvahārika (一説部)
    Lokottaravāda (説出世部)
    Kaukkutika (鶏胤部)
    Bahushrutīya (多聞部)
    Prajnāptivādin (説仮部)
    Chaityavādin (制多山部)
    Aparashaila (西山住部)
    Uttarashaila (北山住部)",, (大衆部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Dharmottara ,, (法上部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Aparashaila ,, (西山住部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Lokottaravāda ,," (説出世部)
",,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Great Universal Wisdom Excellence Buddha,พระมหาภิชญาชญาณาภิภูพุทธะ, Daitsuchisho-butsu,,,,,,,,,,,,,,,,,,,,,,,
Benevolent Kings Perfecton of Wisdom Sutra (full name),,Ninno-kyo,,,,,,,,,,,,,,,,,,,,,,,
transmission of the Southern Temple (See Dharma Characteristics school),,-,,,,,,,,,,,,,,,,,,,,,,,
the teaching of the Middle Way (skt) madhyamā-pratipad; (by SGI library),"คำสอนเรื่องมัธยมรรค (สันสกฤต), มัชฌิมาปฏิปทา (บาลี)",(jp) chūdō,16,,,,,,,,,,,,,,,,,,,,,,
four heavenly kings,ท้าวจตุมหาราชิก,(shidaitenno) ［四大天王］ ,"10, 30",,,,,,,,,,,,,,,,,,,,,,
Ekavyāvahārika ,,(一説部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
"Sthaviravāda   

    Haimavata (雪山部)
    Sarvāstivāda (説一切有部)",,(上座部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Chaityavādin ,,(制多山部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Mahīshāsaka ,,(化他部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Uttarashaila ,,(北山住部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Bahushrutīya ,,(多聞部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Shannāgarika ,,(密林山部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Sammatīya ,,(正量部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Dharmagupta ,,(法蔵部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
"Vātsīputrīya 

    Dharmottara (法上部)
    Bhadrayānīya (賢冑部)
    Sammatīya (正量部)
    Shannāgarika (密林山部)
    Dharmagupta (法蔵部)",วาตสีปุตรียะ,(犢子部),30,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Hsuan-tsang / Hsüan-tsang ,พระเสวียนจ้าง (พระถังซำจั๋ง),（玄奘） — (chinese) Xuanzang,"10, 62",WND1_app_B,,,,,,,,,,,,,,,,,,,,,
Sautrāntika  ,,(経量部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
"Sarvāstivāda 

    Vātsīputrīya (犢子部)
    Mahīshāsaka (化他部)
    Kāshyapīya (飲光部)
    Sautrāntika (経量部)",สรวาสติวาท,(説一切有部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Prajnāptivādin ,,(説仮部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Bhadrayānīya ,,(賢冑部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Haimavata ,,(雪山部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Kāshyapīya ,,(飲光部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
Kaukkutika ,,(鶏胤部),,Dict_app_G,,,,,,,,,,,,,,,,,,,,,
six paths,6 ภูมิ,［六道］ ( shad-gati;  roku-dō),33,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
emanation Buddha,กายแยกของพระพุทธะ,［分身］ ( funjin),231,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Encouraging Devotion chapter,บทการชักชวนและยึดถือ ( บทที่ 13 ของสัทธรรมปุณฑริกสูตร),[勧持品] Kanji-hon,24,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
six schools [of Nara] ,6 นิกาย (แห่งนาระ),［南都六宗］ ( nanto-rokushū),"7, 44",Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Emerging from the Earth Chapter,บทการปรากฎขึ้นมาจากพื้นโลก,［従地涌出品］ (jpn: Jūji-yujuppon),,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
votary of the sutra,ผู้ปฏิบัติสัทธรรมปุณฑริกสูตร,[法華経の行者] (Jpn Hokekyo-no-gyoja ),113,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
emancipation; vimoksha,วิมุตตาคุณ (หมายถึงความหลุดพ้น ซึ่งอยู๋ใน พระคุณ 3 ของพระพุทธะ อันได้แก่ ธรรมกายคุณ ปัญญาคุณ และวิมุตตาคุณ),"［解脱］ (skt: moksha, mukti, vimoksha, or vimukti; jpn: gedatsu)",1,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
nayuta,นยุตะ (หน่วยวัดปริมาณของอินเดีย ซึ่งในอภิธรรมโกษศาสตร์ได้ระบุว่า 1 นยุตะเท่ากับ แสนล้าน ในขณะที่จากแหล่งข้อมูลทั่วไประบุว่าเท่ากับ 10 ล้าน),[那由多] (Skt; Jpn nayuta ),137,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
arjaka tree.,ต้นอรชกะ (เป็นต้นไม้ที่ปลูกในประเทศอินเดีย หรือ เขตร้อน ซึ่งกล่าวกันว่าเมื่อกิ่งของต้นอรชกะตกลงสู่พื้นดิน จะแตกกระจายเป็น 7 เสี่ยง ,[阿梨樹] (Skt; Jpn ari-ju ),113,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Dharani chapter,บทธารณี (บทที่ 26 ของสัทธรรมปุณฑริสูตร),[陀羅尼品] ( Jpn Darani-hon ),113,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Eagle Peak,เขาคิชฌกูฏ,"［霊鷲山・耆闍崛山・霊山］ (skt: Gridhrakūta; Pali Gijjhakūta; Jpn: Ryōju-sen, Gishakussen, or Ryō-zen)","2,23",Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Tripitaka Master Kumārajīva,พระตรีปิฎกาจารย์กุมารชีวะ,［鳩摩羅什］ (344–413) (;  Kumarajū),10,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
Ababa hell (See eight cold hells),,Ababa-jigoku （阿婆婆地獄）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
avadāna,,abadana （阿波陀那）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
great citadel of the Avīchi hellas ,นรกอเวจี,Abi-daijō （阿鼻大城）: ,9,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Avichi hell,นรกอเวจี,Abi-jigoku （阿鼻地獄）: ,2,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
avaivartika; stage of non-regression,ขั้นอไวรติก,abibatchi （阿毘跋致）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
great citadel of Avichi hell,มหาขุมนรกอเวจี,abidaijo,2 / 8,,,,,,,,,,,,,,,,,,,,,,
abhidharma,อภิธรรม,abidatsuma （阿毘達磨）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
"Great Commentary on the Abhidharma, The",อภิธรรมมหาวิภาษาศาสตร์,Abidatsuma-daibibasha-ron （阿毘達磨大毘婆沙論）: ,7,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
"Treatise on Accordance with the Correct Doctrine, The",,Abidatsuma-junshōri-ron （阿毘達磨順正理論）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
"Dharma Analysis Treasury, The",,Abidatsuma-kusha-ron （阿毘達磨倶舎論）:,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
"Heart of the Abhidharma, The",,Abidon-shin-ron （阿毘曇心論）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Abutsu-bō,ท่านอะบุ๊ดจึโบ,Abutsu-bō （阿仏房）,31/67,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
atimuktaka,,adaimokutaka （阿提目多伽）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
ādāna-consciousness,,adana-shiki （阿陀那識）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Agnidatta,,Agidatta （阿耆達多）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Agnidatta,,Agita （阿耆多）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Agnidatta,,Agita-ō（阿耆多王）,,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
Ajita Kesakambala,,Agita-shishakimbara （阿耆多翅舎欽婆羅）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Agnidatta,,Agitatsu （阿耆達）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Āgama,,Agon （阿含）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Āgama sutras,อาคมสูตร,Agon-gyō （阿含経）:,"7,8,11,12",Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Āgama period,,Agon-ji （阿含時）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Hahava hell (See eight cold hells),,Ahaha-jigoku （阿波波地獄）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Avanti,,Ahandai-koku （阿槃提国）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
ahimsā,,ahinsā （アヒンサー）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Abhirati,,Ahiradai （阿比羅提）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Craving,มธุรราชา,Ai-ō（愛王）,83,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
suffering of having to part from those whom one loves (See eight sufferings),,aibetsuri-ku （愛別離苦）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ashoka,,Aiku-ō （阿育王）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
The Story of King Ashoka (See Virtue Victorious),เรื่องของพระเจ้าอโศก,Aikuō-den （阿育王伝）: ,70,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ajita,อชิตะ,Aitta（阿逸多）,30,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
Craving-Filled,ราคะราชา,Aizen-myō’ō （愛染明王）: ,101,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
the wisdom king Craving-Filled,,Aizen-myō’ō（愛染明王）,,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
āchārya,,ajari （阿闍梨）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
King Ajatashatru,พระเจ้าอชาตศัตรู,Ajase （阿闍世王）,"6,65,71",Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ajātashatru,อชาตศัตรู,Ajase-ō （阿闍世王）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ajātashatru / Ajatashatru,พระเจ้าอชาตศัตรู,Ajase-ō（阿闍世王）,5,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
Ājīvika school,,Ājībika-ha （アージービカ派）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ajitavatī ,,Ajitabattei-ga （阿恃多伐底河）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
agada,",",akada （阿伽陀）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Agastya,,Akada-sen （阿竭多仙）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
the ascetic Agastya,อคัสตยะฤๅษี,Akada（阿竭多仙人）,"13, 15",WND1_app_F,,,,,,,,,,,,,,,,,,,,,
Akanishtha Heaven,สวรรค์ชั้นอกนิษฐ์,Akanita-ten （阿迦尼吒天）:  Shikikukyo-ten,62,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Akimoto Tarō Hyōe-no-jō （秋元太郎兵衛尉）,,Akimoto Tarō Hyōe-no-jō （秋元太郎兵衛尉）,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
demon,ยักษ์,akki （悪鬼）: ,13,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
evil friend,เพื่อนชั่ว,aku-chishiki （悪知識）: ,2,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
evil path,,akudō （悪道）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
evil deed (See three evil paths),,akugō （悪業）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
attainment of Buddhahood by evil persons,,akunin-jōbutsu （悪人成仏）:,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
evil path,,akushu （悪趣）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
lay nun,อุบาสิกา,ama （尼・尼御前）: ,65,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
laver / sea laver,สาหร่ายทะเลโนริ,amanori,"55, 60",,,,,,,,,,,,,,,,,,,,,,
amala-consciousness,อมลวิญญาณ,amara-shiki （阿摩羅識）: ,101,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Sun Goddess,สุริยเทวี,Amaterasu Ōmikami （天照大神）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ambapālī,,Ambara-nyo （菴婆羅女）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Arbuda hell (See eight cold hells),,Ambuda-jigoku （頞部陀地獄）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Amida （阿弥陀）,พระอมิตาภ,Amida （阿弥陀）,13,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Amida Sutra,จุลสุขาวตีวยูหสูตร,Amida-kyō （阿弥陀経）:,10,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ambapālī Garden,สวนอัมพวัน ,Ammora-on （菴没羅園）: ,30,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Ambapali Garden ,สวนอัมพวัน ,Ammora-on / Anra-on,30,,,,,,,,,,,,,,,,,,,,,,
Calm and Bright,เขาพระสุเมรุ (Mount Calm and bright),Ammyō （安明）: ,66 78 88 181 ,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
An Ch’ing-hsü,,An Keisho（安慶緒）,,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
An Lu-shan,,An Rokuzan（安禄山）,,WND1_app_F,,,,,,,,,,,,,,,,,,,,,
An Fa-ch’in,,An-hōkin （安法欽）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
An Shih-kao,,An-seikō （安世高）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
An’ne （安慧）,,An’ne （安慧）,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
Sthiramati,,An’ne （安慧）: ,,Dict_app_J,,,,,,,,,,,,,,,,,,,,,
