Lotus Sutra,Chapter name,paragraph number,page number (English),หน้า (ไทย),English,ไทย,ref/note - to be edited,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-010,119-120,141,"“At that time the rich old man, seated on his lion throne, spied his son and recognized him immediately. His heart was filled with great joy and at once he thought: Now I have someone to entrust my storehouses of wealth and possession to! My thoughts have constantly been with this son of mine, but I had no way of seeing him. Now suddenly he has appeared of himself, which is exactly what I would have wished. Though I am old and decrepit, I still care what becomes of my belongings.",“เวลานั้น เศรษฐีผู้ชรานั่งอยู่บนเก้าอี้เท้าสิงห์ มองไปเห็นลูกชายของตนและจำเขาได้ในทันที หัวใจเขาเต็มตื้นไปด้วยความปีติยินดียิ่งนัก และได้เกิดความคิดดังนี้ เดี่ยวนี้เรามีคนที่เราจะมอบคลังแห่งทรัพย์สมบัติและสิ่งครอบครองให้แล้ว เราคิดถึงแต่ลูกชายคนนี้อยู่ตลอดเวลา แต่เราไม่มีทางที่จะได้เห็นเขา แต่บัดนี้เขาได้ปรากฏตัวออกมาเอง อันตรงกับความปรารถนาของเรา แม้ว่าเราจะแก่และชราแล้ว เราก็ยังเป็นห่วงสิ่งที่เป็นสมบัติของเรา,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-011,120,141,"“Thereupon he dispatched a bystander to go after the son as quickly as possible and bring him back. At that time the messenger raced swiftly after the son and laid hold of him. The impoverished son, alarmed and fearful, cried out in an angry voice, ‘I have done nothing wrong! Why am I being seized?’ But the messenger held on to him more tightly than ever and forcibly dragged him back.",“ในทันใดนั้น เขาได้ส่งคนใกล้ชิดคนหนึ่งให้รีบตามลูกชายไป และนำตัวกลับมาให้ได้โดยเร็ว เวลานั้น ผู้ส่งข่าวได้รีบวิ่งออกไปตามลูกชายและจับตัวเขาไว้ได้ ฝ่ายลูกยากจนตกใจและกลัวมาก ร้องออกมาด้วยความโกรธว่า ‘ข้าไม่ได้ทำอะไรผิด มาจับข้าทำไม’ แต่ผู้ส่งข่าวกลับมัดเขาแน่นยิ่งขึ้นและใช้กำลังลากตัวเขากลับมา,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-012,120,142,"“At that time the son thought to himself, I have committed no crime and yet I am taken prisoner. Surely I am going to be put to death! He was more terrified than ever and sank to the ground, fainting with despair.",“ในเวลานั้น ลูกชายได้รำพึงกับตัวเองว่า เราไม่ได้ทำอาชญากรรมใด ๆ แต่เราถูกจับเป็นนักโทษ เราจะต้องถูกประหารอย่างแน่นอน เขายิ่งมีความกลัวมากขึ้น จนฟุบลงกับพื้นและสลบไปด้วยความผิดหวัง,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-013,120,142,"“The father, observing this from a distance, spoke to the messenger, saying, ‘I have no need of this man. Don’t force him to come here, but sprinkle cold water on his face so he will regain his senses. Then say nothing more to him!’",“ฝ่ายบิดามองเห็นเหตุการณ์นี้จากที่ไกล จึงได้พูดกับผู้ส่งข่าวว่า ‘เราไม่ต้องการชายคนนี้อีกแล้ว อย่าบังคับให้เขามาที่นี่ จงเอานํ้าเย็นพรมหน้าของเขาเพื่อทำให้ฟื้น แล้วไม่ต้องพูดอะไรกับเขาอีก’,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-014,120,142,"“Why did he do that? Because the father knew that his son was of humble outlook and ambition, and that his own rich and eminent position would be difficult for the son to accept. He knew very well that this was his son, but as a form of expedient means he refrained from saying to anyone, ‘This is my son.’",“ทำไมเขาจึงทำอย่างนั้น เพราะบิดารู้ดีว่าลูกชายของเขามีความเห็นและความทะเยอทะยานตํ่าต้อย เป็นการยากที่ลูกชายจะรับความรํ่ารวยและฐานะอันสูงส่งของบิดาได้ เขารู้ดีว่าชายคนนั้นเป็นลูกของเขา แต่ตามแบบแห่งกุศโลบายเขาจึงงดเว้นที่จะบอกกับผู้ใดว่า ‘นี่คือลูกชายของเรา’,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-015,120,142,"“The messenger said to the son, ‘I am releasing you now. You may go anywhere you wish.’ The impoverished son was delighted, having gained what he had not had before, and picked himself up from the ground and went off to a poor village in order to look for food and clothing.",“ผู้ส่งข่าวจึงได้พูดกับลูกชายว่า ‘บัดนี้ข้าจะปล่อยให้แกเป็นอิสระ แกจะไปไหนก็ได้ ตามใจปรารถนา’ ลูกยากจนดีใจยิ่งนักกับการที่ได้รับสิ่งที่ไม่เคยมีมาก่อน ยันตัวเองขึ้นจากพื้นและเดินทางไปยังหมู่บ้านยากจน เพื่อแสวงหาอาหารและเครื่องนุ่งห่มต่อไป,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-016,120-121,142,"“At that time the rich man, hoping to entice his son back again, decided to employ an expedient means and send two men as secret messengers, men who were lean and haggard and had no imposing appearance. ‘Go seek out that poor man and approach him casually. Tell him you know a place where he can earn twice the regular wage. If he agrees to the arrangement, then bring him here and put him to work. If he asks what sort of work he will be put to, say that he will be employed to clear away excrement, and that the two of you will be working with him.’",“ครั้งนั้น เศรษฐีผู้บิดาด้วยความหวังที่จะชักนำลูกชายกลับมาอีก คิดที่จะใช้กุศโลบาย จึงได้จัดส่งผู้ส่งข่าวลับออกไป ๒ คน มีหน้าตาซูบซีดและแต่งตัวซอมซ่อ โดยสั่งว่า ‘พวกเธอจงออกไปหาชายยากจนคนนั้นและไปพูดคุยกับเขาอย่างกันเอง จงบอกเขาว่า เธอรู้จักที่ทำงานที่เขาสามารถได้ค่าจ้างมากกว่าปกติ ๒ เท่า ถ้าเขาตกลงตามนี้แล้ว เธอจงนำเขามาที่นี่และกำหนดงานให้เขาทำ ถ้าเขาถามถึงชนิดของงานที่จะให้ทำ จงบอกเขาว่า เขาจะถูกจ้างให้กำจัดอุจจาระ และบอกว่าเธอทั้งสองจะทำงานกับเขาด้วย’,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-017,121,143,"“The two messengers then set out at once to find the poor man, and when they had done so, spoke to him as they had been instructed. At that time the impoverished son asked for an advance on his wages and then went with the men to help clear away excrement.",“ครั้นแล้วผู้ส่งข่าวทั้งสองคนได้ออกไปในทันทีเพื่อตามหาชายยากจน และเมื่อได้พบแล้วได้พูดคุยกับเขาตามที่ได้รับคำแนะนำมา ครั้งนั้น ลูกยากจนจึงตอบตกลงและเรียกค่าจ้างล่วงหน้า และได้ไปกับคนทั้งสองเพื่อช่วยขจัดอุจจาระ,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-018,121,143,"“When the father saw his son, he pitied and wondered at him. Another day, when he was gazing out the window, he saw his son in the distance, his body thin and haggard, filthy with excrement, dirt, sweat, and defilement. The father immediately took off his necklaces, his soft fine garments, and his other adornments and put on clothes that were ragged and soiled. He smeared dirt on his body, took in his right hand a utensil for removing excrement, and assuming a gruff manner, spoke to the laborers, saying, ‘Keep at your work! You mustn’t be lazy!’ By employing this expedient means, he was able to approach his son.",“เมื่อบิดาได้เห็นลูกชายของตน เขารู้สึกสงสารและประหลาดใจมาก ในวันหนึ่งเมื่อเขามองไปทางหน้าต่าง เขาได้เห็นลูกชายแต่ไกล ร่างกายผอมซูบซีด เปรอะเปื้อนไปด้วยอุจจาระ ฝุ่นละออง เหงื่อ และสิ่งโสโครกต่าง ๆ ในทันทีเขาได้ถอดสร้อยสังวาล เสื้อผ้าอาภรณ์อันประณีตและเครื่องประดับอื่น ๆ ออก แล้วสวมใส่เสื้อผ้าขาด ๆ และเปรอะเปื้อน และเอาฝุ่นมาทาตามร่างกาย มือขวาถือถังสำหรับตักอุจจาระ และแสร้งพูดเสียงห้าว ๆ กับคนงานว่า ‘นี่เธอ จงทำงานของเธอต่อไป เธอจะต้องไม่เกียจคร้านนะ’ ด้วยการใช้กุศโลบายอย่างนี้ เขาสามารถเข้าใกล้ลูกชายได้,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-019,121,143,"“Later he spoke to his son again, saying, ‘Now then, young man! You must keep on at this work and not leave me anymore. I will increase your wages, and whatever you need in the way of utensils, rice, flour, salt, vinegar, and the like you should be in no worry about. I have an old servant I can lend you when you need him. You may set your mind at ease. I will be like a father to you, so have no more worries. Why do I say this? Because I am well along in years, but you are still young and sturdy. When you are at work, you are never deceitful or lazy or speak angry or resentful words. You don’t seem to have any faults of that kind the way my other workers do. From now on, you will be like my own son.’ And the rich man proceeded to select a name and assign it to the man as though he were his child.",“ต่อมา เขาได้พูดกับลูกชายว่า ‘นี่แน่ะ พ่อหนุ่ม เธอต้องทำงานนี้ต่อไปนะ และอย่าหนีจากฉันไปอีกเลย ฉันจะเพิ่มค่าจ้างให้เธอ และไม่ว่าเธอต้องการสิ่งใด จะเป็น ภาชนะ ข้าวสาร แป้ง เกลือ นํ้าส้มสายชู และสิ่งใด ๆ โดยเธอไม่ต้องเป็นห่วง ฉันมีคนรับใช้ชราคนหนึ่ง ฉันจะให้เธอยืมไปใช้เมื่อเธอต้องการ ขอให้เธอทำใจให้สบาย ฉันจะเป็นเหมือนกับบิดาของเธอ ดังนั้น เธออย่าได้เป็นห่วงอีกเลย ทำไมฉันจึงพูดเช่นนี้ เพราะว่าฉันมีอายุมากแล้ว แต่เธอนั้นยังหนุ่มแน่นและแข็งแรง เวลาทำงาน เธอไม่เคยเถลไถล ไม่เกียจคร้าน ไม่แสดงความไม่พอใจหรือบ่นเลย ฉันไม่เคยเห็นเธอทำสิ่งที่ไม่ดีเหมือนคนงานอื่น ๆ เลย ตั้งแต่นี้ไป เธอจะเป็นเหมือนลูกของฉันเอง’ และท่านเศรษฐีได้ตั้งชื่อให้เขาใหม่ราวกับว่าเขาเป็นลูกของตนเอง,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-020,121-122,144,"“At this time the impoverished son, though he was delighted at such treatment, still thought of himself as a person of humble station who was in the employ of another. Therefore the rich man kept him clearing away excrement for the next twenty years. By the end of this time, the son felt that he was understood and trusted, and he could come and go at ease, but he continued to live in the same place as before.",“ในเวลานี้ ลูกยากจน แม้ว่าเขาจะพอใจกับการกระทำของเศรษฐี แต่เขาก็ยังคิดว่าเขาเป็นเพียงลูกจ้างที่ตํ่าต้อยของคนอื่นเท่านั้น ดังนั้นท่านเศรษฐีจึงปล่อยให้เขาทำงานขจัดอุจจาระต่อไปอีก ๒๐ ปี ในตอนปลายของเวลานี้ ลูกชายรู้สึกว่าเขามีความเข้าใจและได้รับความไว้วางใจเต็มที่ อันเขาสามารถที่จะมาจะไปได้ตามสบาย แต่เขายังคงอาศัยอยู่ในสถานที่เดิมอย่างแต่ก่อน,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-021,122,144,"“World-Honored One, at that time the rich man fell ill and knew that he would die before long. He spoke to his impoverished son, saying, ‘I now have great quantities of gold, silver, and rare treasures that fill and overflow from my storehouses. You are to take complete charge of the amounts I have and of what is to be handed out and gathered in. This is what I have in mind, and I want you to carry out my wishes. Why is this? Because from now on, you and I will not behave as two different persons. So you must keep your wits about you and see that there are no mistakes or losses.’",“ข้าแต่พระผู้มีพระภาคเจ้า ในเวลานี้ ท่านเศรษฐีได้ล้มป่วยลง และรู้ว่าเขาจะถึงแก่ความตายในเวลาอีกไม่นาน เขาจึงได้พูดกับลูกยากจนว่า ‘เวลานี้เรามีทอง เงิน และสิ่งมีค่าหายากจำนวนมากมายที่เต็มล้นคลังสมบัติของเราอยู่เสมอ เธอจะต้องรับผิดชอบจำนวนข้าวของที่ฉันมีทั้งหมด และจงทำบัญชีรับจ่ายให้เรียบร้อยด้วยนี่คือ สิ่งที่ฉันตั้งใจเอาไว้ และฉันต้องการให้เธอปฏิบัติตามที่ฉันปรารถนา ทำไมหรือ เพราะว่าจากนี้ต่อไป เธอกับฉันจะต้องไม่ประพฤติเป็นดังคนสองคนที่แตกต่างกัน ดังนั้น เธอจะต้องรักษาความเป็นผู้ฉลาดหลักแหลมของเธอไว้ และดูให้ดีว่าจะไม่มีความผิดพลาดหรือความสูญเสียใด ๆ’,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-022,122,145,"“At that time the impoverished son, having received these instructions, took over the surveillance of all the goods, the gold, silver, and rare treasures, and the various storehouses, but never thought of appropriating for himself so much as the cost of a single meal. He continued to live where he had before, unable to cease thinking of himself as mean and lowly.",“ครั้งนั้น ลูกยากจนเมื่อได้รับคำแนะนำเหล่านี้แล้ว ได้ทำการเฝ้าดูแลสินค้าทั้งหมด อันมีทอง เงิน และสิ่งมีค่าหายาก และคลังสินค้าต่าง ๆ แต่ไม่เคยคิดถือเป็นของตนเองมากไปกว่าค่าของอาหารมื้อหนึ่งเท่านั้น เขายังคงอาศัยอยู่ในที่เดิม ไม่อาจสลัดความคิดว่าตัวเองเป็นคนตํ่าต้อยเสียได้,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-023,122-123,145,"“After some time had passed, the father perceived that his son was bit by bit becoming more self-assured and magnanimous in outlook, that he was determined to accomplish great things and despised his former low opinion of himself. Realizing that his own end was approaching, he ordered his son to arrange a meeting with his relatives and the king of the country, the high ministers, and the noblemen and householders. When they were all gathered together, he proceeded to make this announcement: ‘Gentlemen, you should know that this is my son, who was born to me. In such-and-such a city he abandoned me and ran away, and for over fifty years he wandered about suffering hardship. His original name is such-and-such, and my name is such-and-such. In the past, when I was still living in my native city, I worried about him and so I set out in search of him. Sometime after, I suddenly chanced to meet up with him. This is in truth my son, and I in truth am his father. Now everything that belongs to me, all my wealth and possessions, shall belong entirely to this son of mine. Matters of outlay and income that have occurred in the past this son of mine is familiar with.’",“หลังจากเวลาหนึ่งได้ผ่านไป ฝ่ายบิดาสังเกตเห็นว่า ลูกชายของเขาค่อย ๆ มีความมั่นใจ และมีทัศนะกว้างไกลขึ้น มีความตั้งใจที่จะทำการใหญ่ ๆ ให้สำเร็จ และไม่พอใจในความคิดตํ่า ๆ ดังแต่ก่อนของตนเอง พร้อมกับท่านเศรษฐีเองก็ตระหนักดีว่าวาระสุดท้ายของตนได้ใกล้เข้ามาแล้ว เขาจึงสั่งการให้ลูกชายจัดการประชุมหมู่ญาติ พระราชาแห่งประเทศ เสนาบดี ขุนนาง และคหบดี เมื่อทุกคนมาประชุมพร้อมกันแล้ว ท่านเศรษฐีได้กล่าวคำประกาศดังนี้ ‘ท่านสุภาพบุรุษทั้งหลาย ข้าพเจ้าขอให้ท่านทั้งหลายทราบว่า ชายคนนี้เป็นบุตรของข้าพเจ้า อันข้าพเจ้าเป็นผู้ให้กำเนิดแก่เขาเอง ครั้งหนึ่งในเมืองหนึ่ง เขาได้ทิ้งข้าพเจ้าและหนีไป และเป็นเวลากว่า ๕๐ ปีที่เขาเที่ยวพเนจรไปพบกับความทุกข์ยากมากมาย เดิมเขามีชื่อว่าอย่างนั้นอย่างนั้น ในอดีตเมื่อข้าพเจ้าอาศัยอยู่ในเมืองบ้านเกิด ข้าพเจ้าเป็นห่วงเขามากจึงได้ย้ายออกมาเพื่อเที่ยวค้นหาเขา หลังจากนั้น วันหนึ่ง โดยบังเอิญข้าพเจ้าได้พบเขา ตามความเป็นจริงแล้วชายคนนี้คือบุตรของข้าพเจ้า และข้าพเจ้าคือบิดาจริง ๆ ของเขา เวลานี้ สิ่งใดที่เป็นของข้าพเจ้า ทรัพย์สินและสิ่งครอบครองทั้งหมดที่เป็นของข้าพเจ้า ทั้งหมดจะเป็นของลูกชายคนนี้ของข้าพเจ้า เรื่องต่าง ๆ เกี่ยวกับรายจ่ายและรายรับที่เกิดขึ้นในอดีต ลูกชายของข้าพเจ้าคนนี้ เขารู้เรื่องดีหมดแล้ว’,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-024,123,146,"“World-Honored One, when the impoverished son heard these words of his father, he was filled with great joy, having gained what he never had before, and he thought to himself, I originally had no mind to covet or seek such things. Yet now these stores of treasures have come of their own accord!",“ข้าแต่พระผู้มีพระภาคเจ้า เมื่อลูกยากจนได้ฟังคำพูดเหล่านี้ของบิดา เขามีความเต็มตื้นไปด้วยความปีติยินดีกับการได้รับสิ่งที่เขาไม่เคยมีมาก่อนยิ่งนัก และเขาได้คิดกับตนเองดังนี้ แต่เดิมมาข้าไม่เคยคิดอยากได้หรือแสวงหาสิ่งเหล่านี้เลย แต่บัดนี้คลังสมบัติเหล่านี้กลับมีมาให้ข้าด้วยความสมัครใจของมันเอง,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-025,123,146,"“World-Honored One, this old man with his great riches is none other than the thus come one, and we are all like the Buddha’s sons. The thus come one constantly tells us that we are his sons. But because of the three sufferings, World-Honored One, in the midst of birth and death we undergo burning anxieties, delusions, and ignorance, delighting in and clinging to lesser doctrines. But today the world-honored one causes us to ponder carefully, to cast aside the doctrines that are the filth of frivolous debate.",“ข้าแต่พระผู้มีพระภาคเจ้า ชายคนนี้พร้อมด้วยความรํ่ารวยมหาศาลของเขา หาใช่ใครอื่นนอกจากพระตถาคต และพวกข้าพระองค์ทั้งหลายเป็นเหมือนบุตรของพระพุทธองค์ พระตถาคตตรัสอยู่เสมอว่าพวกข้าพระองค์เป็นบุตรของพระองค์ แต่เพราะเหตุแห่งความทุกข์ทั้งสาม พระผู้มีพระภาคเจ้า ในท่ามกลางแห่งการเกิดและการตาย พวกข้าพระองค์ทนแผดเผาอยู่กับความวิตกกังวล ความหลงผิดและความไม่รู้ พึงพอใจและยึดมั่นอยู่กับคำสอนเล็ก ๆ น้อย ๆ แต่วันนี้พระผู้มีพระภาคเจ้า ทรงทำให้พวกข้าพระองค์ได้คิดไตร่ตรองอย่างรอบคอบ เพื่อที่จะละทิ้งคำสอนเช่นนั้น อันเป็นสิ่งปฏิกูลแห่งการโต้เถียงกันเล่น ๆ,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-026,123,146,"“We were diligent and exerted ourselves in this matter until we had attained nirvana, which is like one day’s wages. And once we had attained it, our hearts were filled with great joy and we considered that this was enough. At once we said to ourselves, ‘Because we have been diligent and exerted ourselves with regard to the Law of the Buddha, we have gained this breadth and wealth of understanding.’",“พวกข้าพระองค์ได้เอาใจใส่และบำเพ็ญเพียรในเรื่องนี้ จนกระทั่งได้บรรลุนิพพาน ซึ่งเปรียบเหมือนค่าจ้างวันเดียว และเมื่อข้าพระองค์ได้บรรลุนิพพานแล้ว ต่างมีความปลาบปลื้มใจอย่างใหญ่หลวง และพวกข้าพระองค์ถือว่า นี่เป็นการเพียงพอแล้ว ในทันทีพวกข้าพระองค์ได้บอกกับตนเองว่า ‘เพราะว่าพวกเรามีความขยันหมั่นเพียรเกี่ยวกับพุทธธรรม พวกเราได้บรรลุความกว้างและความอุดมแห่งความเข้าใจแล้ว’,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-027,123,147,"“But the world-honored one, knowing from past times how our minds cling to unworthy desires and delight in lesser doctrines, pardoned us and let us be, not trying to explain to us by saying, ‘You will come to possess the insight of the thus come one, your portion of the store of treasures!’ Instead the world-honored one employed the power of expedient means, preaching to us the wisdom of the thus come one in such a way that we might heed the Buddha and attain nirvana, which is one day’s wages. And because we considered this to be a great gain, we had no wish to pursue this great vehicle.",“แต่พระผู้มีพระภาคเจ้า ตั้งแต่อดีต พระองค์ทรงทราบว่าจิตของพวกข้าพระองค์ ยึดติดอยู่กับความอยากได้ที่ไม่มีค่า และพอใจในคำสอนเล็กน้อย จึงมิได้กล่าวโทษพวกข้าพระองค์ และปล่อยให้พวกข้าพระองค์เป็นอย่างนั้นโดยไม่พยายามที่จะอธิบายด้วยการตรัสว่า ‘เธอจะได้ครอบครองความหยั่งรู้ของพระตถาคต ส่วนแบ่งแห่งคลังสมบัติของเธอ’ แต่พระผู้มีพระภาคเจ้า กลับทรงใช้พลังแห่งกุศโลบาย ทำการเทศนาปัญญาของพระตถาคต ในแนวทางที่ทำให้พวกข้าพระองค์อาจสนใจในพระพุทธะและการบรรลุนิพพาน ซึ่งเป็นเพียงค่าจ้างวันเดียวเท่านั้น และเพราะว่าพวกข้าพระองค์ถือว่า แค่นี้เป็นการได้รับอันยิ่งใหญ่แล้ว พวกข้าพระองค์จึงไม่มีความปรารถนาที่จะใฝ่หามหายานเลย,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-028,123-124,147,"“In addition, though we expounded and set forth the buddha wisdom for the sake of the bodhisattvas, we ourselves did not aspire to attain it. Why do I say this? Because the Buddha, knowing that our minds delight in lesser doctrines, employed the power of expedient means to preach in a way that was appropriate for us. So we did not know that we were in truth the sons of the Buddha. But now at last we know it.",“นอกจากนี้ ถึงแม้พวกข้าพระองค์จะได้แสดงและประกาศพุทธปัญญาเพื่อประโยชน์ของโพธิสัตว์ก็ตาม แต่พวกข้าพระองค์มิได้หวังที่จะได้บรรลุปัญญานี้เลย ทำไมข้าพระองค์จึงกล่าวดังนี้ เพราะว่าพระพุทธองค์ทรงทราบว่า พวกข้าพระองค์พอใจในคำสอนเล็กน้อย จึงทรงใช้พลังแห่งกุศโลบายทำการเทศนาในแนวทางที่เหมาะสมกับพวกข้าพระองค์ ดังนั้น พวกข้าพระองค์จึงมิได้รู้ว่า อันที่จริงพวกข้าพระองค์ก็เป็นบุตรของพระพุทธะ แต่บัดนี้ในที่สุด พวกข้าพระองค์ได้ทราบดีแล้ว,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-029,124,148,"“With regard to the buddha wisdom, the world-honored one is never begrudging. Why do I say this? From times past we have in truth been the sons of the Buddha, but we delighted in nothing but lesser doctrines. If we had had the kind of minds that delighted in great ones, then the Buddha would have preached the Law of the great vehicle for us.",“เกี่ยวกับพุทธปัญญา พระผู้มีพระภาคเจ้าไม่เคยคิดเสียดายเลย ทำไมข้าพระองค์จึงกล่าวดังนี้ อันที่จริงตั้งแต่อดีตกาลพวกข้าพระองค์ได้เป็นบุตรของพระพุทธะมาแล้ว แต่พวกข้าพระองค์มีความพอใจแต่ในคำสอนเล็กน้อย ถ้าหากพวกข้าพระองค์จะได้มีจิตชนิดที่พึงพอใจในสิ่งที่ยิ่งใหญ่แล้ว พระพุทธองค์ก็คงจะได้เทศนาธรรมะแห่งมหายานแก่พวกข้าพระองค์แล้ว,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-030,124,148,"“Now in this sutra the Buddha expounds only the one vehicle. And in the past, when in the presence of the bodhisattvas he disparaged the voice-hearers as those who delight in a lesser doctrine, the Buddha was in fact employing the great vehicle to teach and convert us. Therefore we say that, though originally we had no mind to covet or seek such a thing, now the great treasure of the Dharma king has come to us of its own accord. It is something that the sons of the Buddha have a right to acquire, and now they have acquired all of it.”",“บัดนี้ ในพระสูตรนี้ พระพุทธองค์ทรงแสดงเพียงแต่เอกยานเท่านั้น และในอดีตเมื่อพระองค์ทรงตำหนิสาวกต่อหน้าโพธิสัตว์ว่าเป็นพวกที่พอใจในคำสอนเล็กน้อย อันที่จริงแล้วพระพุทธองค์ทรงใช้มหายานสอนและเปลี่ยนแปลงพวกข้าพระองค์ เพราะฉะนั้นพวกข้าพระองค์จึงกล่าวว่า ถึงแม้ว่าแต่ดั้งเดิม พวกข้าพระองค์ไม่เคยมีจิตคิดอยากได้หรือแสวงหาสิ่งเช่นนั้นเลย แต่บัดนี้สมบัติมหาศาลของพระธรรมราชาได้ตกเป็นของพวกข้าพระองค์ด้วยความยินยอมของมันเอง มันเป็นสิ่งที่บุตรของพระพุทธะมีสิทธิ์ที่จะได้ และเวลานี้พวกเขาได้กันทุกคนแล้ว”,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-031,124,148,"At that time Mahakashyapa, wishing to state his meaning once more, spoke in verse form, saying:",ครั้งนั้น พระมหากัสสปะปรารถนาที่จะกล่าวความหมายของท่านอีกครั้งหนึ่ง จึงได้กล่าวเป็นคาถาประพันธ์ดังนี้,,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-032,124,148,"We today have heard
  
  the Buddha’s voice teaching
  
  and we dance for joy,
  
  having gained what we never had before.","วันนี้พวกเราได้สดับ
  พระสุรเสียงที่พระพุทธะทรงเทศนา
  พวกเราร่ายรำด้วยความปีติยินดี
  กับการได้รับสิ่งที่เราไม่เคยมีมาก่อน",,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-033,124,149,"The Buddha declares that the voice-hearers
  
  will be able to attain buddhahood.
  
  This cluster of unsurpassed jewels
  
  has come to us unsought.","พระพุทธะทรงประกาศว่าบรรดาสาวก
  สามารถที่จะบรรลุพุทธภาวะได้
  กลุ่มก้อนแห่งอัญมณีที่หาใดเปรียบนี้
  พวกเราได้รับมาโดยมิได้แสวงหา",,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-034,124,149,"It is like the case of a boy who,
  
  when still young, without understanding,
  
  abandoned his father and ran away,
  
  going far off to another land,
  
  drifting from one country to another
  
  for over fifty years.","เหมือนกับกรณีของเด็กชายผู้หนึ่ง
  เมื่อยังเยาว์ ยังไม่มีความเข้าใจ
  ละทิ้งบิดาของตนและหนีไป
  ไปไกลยังดินแดนอื่น
  ย้ายจากประเทศหนึ่งไปยังประเทศหนึ่ง
  เป็นเวลากว่า ๕๐ ปี",,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-035,124-125,149,"His father, distressed in thought,
  
  searched for him in every direction
  
  till, worn out with searching,
  
  he halted in a certain city.","ฝ่ายบิดาของเขาเต็มไปด้วยความเศร้าโศกเสียใจ
  ได้ออกเที่ยวค้นหาลูกชายไปทุกทิศ
  จนกระทั่งอ่อนล้ากับการค้นหา
  จึงได้หยุดพักอยู่ในเมืองหนึ่ง",,,,,,,,,,,,,,,,,,,,
chapter 04,Belief and Understanding/บทความเชื่อและความเข้าใจ,chap04-036,125,149,"There he built a dwelling
  
  where he could indulge the five desires.
  
  His house was large and costly,
  
  with quantities of gold, silver,
  
  seashell, agate,","ที่นั่นเขาได้สร้างคฤหาสน์หลังหนึ่ง
  อันเป็นที่ซึ่งเขาสามารถเพลิดเพลินกับกามคุณ ๕ ได้
  บ้านของเขาใหญ่โตและมีราคามาก
  มากมายด้วยทอง เงิน
  หอยสังข์ หินโมรา",,,,,,,,,,,,,,,,,,,,
